1.50	13.08	3.2	0.5
2.86	13.08	3.54	0.5
5.60	13.08	3.85	0.5
8.32	13.08	4.167	0.5
11.74	13.08	4.55	0.25
15.84	11.48	4.652	0.25
19.93	10.16	4.458	0.25
24.03	9.011	4.249	0.25
28.12	7.795	4.007	0.25
32.22	6.544	3.748	0.25
36.32	5.361	3.502	0.25
40.41	4.188	3.256	0.25
44.51	3.125	3.01	0.25
48.61	2.319	2.764	0.25
52.70	1.526	2.518	0.25
56.12	0.863	2.313	0.25
58.85	0.37	2.086	0.25
61.57	0.16	1.4	0.25
62.94	0	0.7	0.25
