
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    2.7480      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      91  0.78190E-004 0.74590E-003 0.52888E-003 0.91771E-003
      92  0.39527E-004 0.72789E-003 0.49372E-003 0.88043E-003
      93  0.18445E-004 0.67407E-003 0.44562E-003 0.80827E-003
      94  0.21730E-004 0.59489E-003 0.38655E-003 0.70978E-003
      95  0.45514E-004 0.51114E-003 0.32151E-003 0.60556E-003
      96  0.79001E-004 0.43986E-003 0.25421E-003 0.51414E-003
      97  0.10919E-003 0.39119E-003 0.18922E-003 0.44806E-003
      98   0.0000       0.0000       0.0000       0.0000     
      99  0.21453E-004 0.68455E-004 0.38458E-004 0.81396E-004
     100  0.38909E-004 0.16182E-003 0.70757E-004 0.18085E-003
     101  0.74243E-004 0.26147E-003 0.99707E-004 0.28951E-003
     102   0.0000       0.0000       0.0000       0.0000     
     103   0.0000       0.0000       0.0000       0.0000     
     104   0.0000       0.0000       0.0000       0.0000     
     105   0.0000       0.0000       0.0000       0.0000     
     106   0.0000       0.0000       0.0000       0.0000     
     107   0.0000       0.0000       0.0000       0.0000     
     108   0.0000       0.0000       0.0000       0.0000     
     109   0.0000       0.0000       0.0000       0.0000     
     110  0.26269E-004 0.10957E-003 0.15877E-003 0.19469E-003
     111  0.20621E-004 0.11151E-003 0.15257E-003 0.19010E-003
     112  0.15558E-004 0.11019E-003 0.14302E-003 0.18122E-003
     113  0.12333E-004 0.10488E-003 0.12974E-003 0.16729E-003
     114  0.11666E-004 0.96565E-004 0.11317E-003 0.14923E-003
     115  0.13353E-004 0.87183E-004 0.94509E-004 0.12927E-003
     116  0.16370E-004 0.78703E-004 0.75099E-004 0.11001E-003
     117  0.19429E-004 0.72299E-004 0.56165E-004 0.93590E-004
     118  0.51964E-004 0.33434E-003 0.29621E-003 0.44970E-003
     119  0.29965E-004 0.33667E-003 0.28448E-003 0.44179E-003
     120  0.10563E-004 0.32746E-003 0.26648E-003 0.42232E-003
     121 -0.17663E-005 0.30444E-003 0.24144E-003 0.38856E-003
     122 -0.42527E-005 0.27118E-003 0.21030E-003 0.34319E-003
     123  0.25257E-005 0.23473E-003 0.17527E-003 0.29296E-003
     124  0.14974E-004 0.20200E-003 0.13896E-003 0.24563E-003
     125  0.28448E-004 0.17725E-003 0.10364E-003 0.20729E-003
     126  0.84400E-004 0.54456E-003 0.42286E-003 0.69461E-003
     127  0.49181E-004 0.55054E-003 0.40570E-003 0.68564E-003
     128  0.18246E-004 0.53613E-003 0.37952E-003 0.65712E-003
     129 -0.34217E-006 0.49693E-003 0.34327E-003 0.60397E-003
     130 -0.17159E-005 0.43987E-003 0.29846E-003 0.53157E-003
     131  0.12558E-004 0.37783E-003 0.24837E-003 0.45233E-003
     132  0.35524E-004 0.32350E-003 0.19657E-003 0.38020E-003
     133  0.58560E-004 0.28413E-003 0.14635E-003 0.32493E-003
     134  0.96499E-004 0.36665E-003-0.31707E-004 0.38046E-003
     135  0.12607E-003 0.35909E-003 0.73028E-004 0.38752E-003
     136  0.11211E-003 0.36200E-003 0.20693E-004 0.37953E-003
     137   0.0000       0.0000       0.0000       0.0000     
     138  0.20451E-004 0.66156E-004-0.10108E-004 0.69979E-004
     139  0.48223E-004 0.15048E-003-0.18187E-004 0.15907E-003
     140  0.73809E-004 0.25124E-003-0.25047E-004 0.26306E-003
     141   0.0000       0.0000       0.0000       0.0000     
     142   0.0000       0.0000       0.0000       0.0000     
     143  0.21868E-004 0.66639E-004 0.21637E-004 0.73397E-004
     144  0.21120E-004 0.66192E-004 0.58054E-005 0.69722E-004
     145  0.44409E-004 0.15403E-003 0.39943E-004 0.16521E-003
     146  0.46152E-004 0.15119E-003 0.10945E-004 0.15846E-003
     147  0.79506E-004 0.25201E-003 0.56475E-004 0.27022E-003
     148  0.76773E-004 0.25038E-003 0.15786E-004 0.26237E-003
     149  0.19018E-003 0.38955E-003-0.22215E-003 0.48710E-003
     150  0.95432E-004 0.36976E-003-0.87914E-004 0.39186E-003
     151  0.12388E-003 0.37463E-003-0.15096E-003 0.42247E-003
     152   0.0000       0.0000       0.0000       0.0000     
     153  0.34052E-004 0.69043E-004-0.67423E-004 0.10233E-003
     154  0.10616E-003 0.16263E-003-0.12375E-003 0.23028E-003
     155  0.15985E-003 0.27040E-003-0.17356E-003 0.35887E-003
     156   0.0000       0.0000       0.0000       0.0000     
