
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1   -1.55849000000        0.360574000000         1.50000000000     
        2   -1.64172000000        0.378218000000         2.18000000000     
        3   -1.57929750000        0.364985000000         1.67000000000     
        4   -1.60010500000        0.369396000000         1.84000000000     
        5   -1.62091250000        0.373807000000         2.01000000000     
        6   -1.67371000000       -0.201841000000         2.18000000000     
        7   -1.67489179996        0.186558573302         2.18000000000     
        8   -1.68544242429       -0.767105424157E-002    2.18000000000     
        9   -1.58712000000       -0.203810000000         1.50000000000     
       10   -1.60876246152       -0.203317129137         1.67000063975     
       11   -1.63040898003       -0.202824762544         1.84000076443     
       12   -1.65205819690       -0.202332726690         2.01000054645     
       13   -1.59034028252        0.174019644012         1.50000000000     
       14   -1.59996485141       -0.149902568701E-001    1.50000000000     
       15   -1.61147648373        0.177154552476         1.67000019699     
       16   -1.62133088784       -0.131600390877E-001    1.67000040258     
       17   -1.63261403642        0.180289313129         1.84000023309     
       18   -1.64269962726       -0.113301677694E-001    1.84000047647     
       19   -1.65375248759        0.183423984697         2.01000016588     
       20   -1.66407016369       -0.950049492652E-002    2.01000033332     

   NODE        X                   Y                   Z
       21   -1.42489000000       -0.903414000000         2.18000000000     
       22   -1.64121999376       -0.386551575139         2.18000000000     
       23   -1.58848893604       -0.566523042075         2.18000000000     
       24   -1.51622605286       -0.739589936342         2.18000000000     
       25   -1.33453000000       -0.884123000000         1.50000000000     
       26   -1.35704069843       -0.888894623687         1.67001203644     
       27   -1.37960666683       -0.893701454065         1.84001567328     
       28   -1.40222233009       -0.898540535738         2.01001179132     
       29   -1.55374806091       -0.383660988268         1.50000000000     
       30   -1.49993994042       -0.558487066554         1.50000000000     
       31   -1.42657372791       -0.726046636270         1.50000000000     
       32   -1.57559241339       -0.384370400263         1.67000348234     
       33   -1.52203495633       -0.560470239289         1.67000630903     
       34   -1.44892605125       -0.729394025329         1.67000915395     
       35   -1.59745364783       -0.385088984783         1.84000448232     
       36   -1.54415968337       -0.562471233927         1.84000817929     
       37   -1.47132086059       -0.732767903793         1.84001190093     
       38   -1.61932934306       -0.385815870676         2.01000335058     
       39   -1.56631064311       -0.564488482647         2.01000613902     
       40   -1.49375362600       -0.736166009071         2.01000894602     

   NODE        X                   Y                   Z
       41  -0.668199000000        -1.55055000000         2.18000000000     
       42   -1.32803052416        -1.04117291789         2.18000000000     
       43   -1.21776213726        -1.16843482271         2.18000000000     
       44   -1.09543378308        -1.28414971827         2.18000000000     
       45  -0.962165497189        -1.38707704358         2.18000000000     
       46  -0.819224992217        -1.47607773986         2.18000000000     
       47  -0.648042000000        -1.46441000000         1.50000000000     
       48  -0.653062677152        -1.48590158018         1.67000604625     
       49  -0.658093791907        -1.50741835256         1.84000859992     
       50  -0.663139402124        -1.52896858772         2.01000648541     
       51   -1.22561705899        -1.03010859507         1.50000000000     
       52   -1.10075842789        -1.16270796663         1.50000000000     
       53  -0.961660914948        -1.28028087423         1.50000000000     
       54  -0.810116254226        -1.38130765252         1.50000000000     
       55   -1.27771683323        -1.03485503739         1.84079863374     
       56  -0.810173763686        -1.43085904188         1.83687514501     
       57  -0.811993238247        -1.45503146938         2.00879706663     
       58  -0.949431966473        -1.36996118160         2.01357853796     
       59   -1.07910179352        -1.27148639619         2.02195508982     
       60   -1.19960518809        -1.15812427709         2.02179460716     

   NODE        X                   Y                   Z
       61   -1.30737697173        -1.03300090851         2.01357232316     
       62  -0.810722192355        -1.40558956783         1.66705131349     
       63   -1.24708433175        -1.03849541227         1.67259763154     
       64   -1.11404546886        -1.18271120828         1.68636246178     
       65  -0.962025004445        -1.30685022408         1.66911390699     
       66  -0.950563712249        -1.34187317997         1.83888650593     
       67   -1.06273099866        -1.25873392957         1.86293202041     
       68   -1.17401378641        -1.15708978033         1.87236340118     
       69  -0.824327000000E-001   -1.68664000000         2.18000000000     
       70  -0.526960232102        -1.60427955508         2.18000000000     
       71  -0.381436441231        -1.64493989750         2.18000000000     
       72  -0.232892083715        -1.67259945095         2.18000000000     
       73  -0.636520000000E-001   -1.60026000000         1.50000000000     
       74  -0.683468609078E-001   -1.62184727010         1.67000099165     
       75  -0.730418023965E-001   -1.64343671468         1.84000170356     
       76  -0.777370263697E-001   -1.66503280037         2.01000156412     
       77  -0.507431002810        -1.51900816635         1.50000000000     
       78  -0.362268200501        -1.55997038547         1.50000000000     
       79  -0.213909910190        -1.58715324699         1.50000000000     
       80  -0.512299300394        -1.54029151033         1.67000478184     

   NODE        X                   Y                   Z
       81  -0.367050812700        -1.58118717971         1.67000350504     
       82  -0.218650569242        -1.60849813680         1.67000223323     
       83  -0.517175447940        -1.56159429759         1.84000687460     
       84  -0.371838687457        -1.60241766538         1.84000513290     
       85  -0.223393901879        -1.62985096296         1.84000339801     
       86  -0.522062538183        -1.58292384445         2.01000525411     
       87  -0.376633994842        -1.62366819806         2.01000401818     
       88  -0.228141073775        -1.65121713976         2.01000277217     
       89    1.41470000000       -0.919398000000         2.18000000000     
       90   0.113157312093        -1.68481891403         2.18000000000     
       91   0.307222636892        -1.66044427759         2.18000000000     
       92   0.497143633205        -1.61367900984         2.18000000000     
       93   0.680373972623        -1.54524069390         2.18000000000     
       94   0.854441221356        -1.45603538102         2.18000000000     
       95    1.01700592112        -1.34727046051         2.18000000000     
       96    1.16585050570        -1.22037659161         2.18000000000     
       97    1.29900155487        -1.07710712632         2.18000000000     
       98    1.33485000000       -0.883589000000         1.50000000000     
