F,2,Fx,-24.963
F,583,Fx,-177.6
F,1453,Fx,-299.704
F,2317,Fx,451.459
F,3456,Fx,1812.454
F,4769,Fx,1959.262
F,6051,Fx,1866.301
F,7273,Fx,1833.461
F,8397,Fx,1794.695
F,9479,Fx,1721.444
F,10486,Fx,1643.063
F,11403,Fx,1526.65
F,12270,Fx,1399.031
F,13077,Fx,1271.666
F,13827,Fx,935.104
F,14390,Fx,625.598
F,14786,Fx,453.065
F,15110,Fx,84.91


F,2,Fy,34.452
F,583,Fy,171.061
F,1453,Fy,202.173
F,2317,Fy,1450.131
F,3456,Fy,3674.182
F,4769,Fy,4604.293
F,6051,Fy,5287.532
F,7273,Fy,6209.004
F,8397,Fy,7257.04
F,9479,Fy,8557.615
F,10486,Fy,10053.321
F,11403,Fy,11042.946
F,12270,Fy,11883.365
F,13077,Fy,12838.917
F,13827,Fy,11341.909
F,14390,Fy,9197.707
F,14786,Fy,7791.589
F,15110,Fy,2307.428


F,2,Fz,0.0
F,583,Fz,0.0
F,1453,Fz,0.0
F,2317,Fz,0.0
F,3456,Fz,0.0
F,4769,Fz,0.0
F,6051,Fz,0.0
F,7273,Fz,0.0
F,8397,Fz,0.0
F,9479,Fz,0.0
F,10486,Fz,0.0
F,11403,Fz,0.0
F,12270,Fz,0.0
F,13077,Fz,0.0
F,13827,Fz,0.0
F,14390,Fz,0.0
F,14786,Fz,0.0
F,15110,Fz,0.0


F,134,Fx,-2.57
F,783,Fx,-11.673
F,1654,Fx,-11.977
F,2575,Fx,-60.97
F,3775,Fx,-173.399
F,5088,Fx,-231.714
F,6348,Fx,-286.431
F,7552,Fx,-367.371
F,8665,Fx,-449.702
F,9735,Fx,-524.503
F,10720,Fx,-604.299
F,11623,Fx,-641.66
F,12479,Fx,-666.256
F,13264,Fx,-717.543
F,13971,Fx,-631.518
F,14490,Fx,-511.388
F,14869,Fx,-441.138
F,15148,Fx,-128.874


F,134,Fy,29.371
F,783,Fy,133.418
F,1654,Fy,136.899
F,2575,Fy,696.892
F,3775,Fy,1981.955
F,5088,Fy,2648.507
F,6348,Fy,3273.916
F,7552,Fy,4199.069
F,8665,Fy,5140.114
F,9735,Fy,5995.094
F,10720,Fy,6907.166
F,11623,Fy,7334.211
F,12479,Fy,7615.341
F,13264,Fy,8201.549
F,13971,Fy,7218.288
F,14490,Fy,5845.187
F,14869,Fy,5042.231
F,15148,Fy,1473.032


F,134,Fz,0.0
F,783,Fz,0.0
F,1654,Fz,0.0
F,2575,Fz,0.0
F,3775,Fz,0.0
F,5088,Fz,0.0
F,6348,Fz,0.0
F,7552,Fz,0.0
F,8665,Fz,0.0
F,9735,Fz,0.0
F,10720,Fz,0.0
F,11623,Fz,0.0
F,12479,Fz,0.0
F,13264,Fz,0.0
F,13971,Fz,0.0
F,14490,Fz,0.0
F,14869,Fz,0.0
F,15148,Fz,0.0
