-180	0
-175	0.1978
-170	0.3963
-160	0.2738
-155	0.3118
-150	0.3413
-145	0.3636
-140	0.3799
-135	0.3911
-130	0.398
-125	0.4012
-120	0.4014
-115	0.399
-110	0.3943
-105	0.3878
-100	0.3796
-95	0.37
-90	0.3591
-85	0.3471
-80	0.334
-75	0.3199
-70	0.3049
-65	0.289
-60	0.2722
-55	0.2545
-50	0.2359
-45	0.2163
-40	0.1958
-35	0.1744
-30	0.152
-25	0.1262
-24	0.117
-23	0.1059
-22	0.0931
-21	0.0788
-20	0.0631
-19	0.0464
-18	0.0286
-17	0.0102
-16	-0.0088
-15	-0.0281
-14.5	-0.0378
-12.01	-0.0349
-11	-0.0361
-9.98	-0.0464
-8.12	-0.0821
-7.62	-0.0924
-7.11	-0.1015
-6.6	-0.1073
-6.5	-0.1083
-6	-0.1112
-5.5	-0.1146
-5	-0.1172
-4.5	-0.1194
-4	-0.1213
-3.5	-0.1232
-3	-0.1252
-2.5	-0.1268
-2	-0.1282
-1.5	-0.1297
-1	-0.131
-0.5	-0.1324
0	-0.1337
0.5	-0.135
1	-0.1363
1.5	-0.1374
2	-0.1385
2.5	-0.1395
3	-0.1403
3.5	-0.1406
4	-0.1398
4.5	-0.139
5	-0.1378
5.5	-0.1369
6	-0.1353
6.5	-0.1338
7	-0.1317
7.5	-0.1291
8	-0.1249
8.5	-0.1213
9	-0.1177
9.5	-0.1142
10	-0.1103
10.5	-0.1066
11	-0.1032
11.5	-0.1002
12	-0.0971
12.5	-0.094
13	-0.0909
13.5	-0.0883
14	-0.0865
14.5	-0.0854
15	-0.0849
15.5	-0.0847
16	-0.085
16.5	-0.0858
17	-0.0869
17.5	-0.0883
18	-0.0901
18.5	-0.0922
19	-0.0949
19.5	-0.098
20	-0.1017
20.5	-0.1059
21	-0.1105
22	-0.1172
23	-0.1239
24	-0.1305
25	-0.137
26	-0.1433
28	-0.1556
30	-0.1671
32	-0.1778
35	-0.1923
40	-0.2154
45	-0.2374
50	-0.2583
55	-0.2782
60	-0.2971
65	-0.3149
70	-0.3318
75	-0.3476
80	-0.3625
85	-0.3763
90	-0.389
95	-0.4004
100	-0.4105
105	-0.4191
110	-0.426
115	-0.4308
120	-0.4333
125	-0.433
130	-0.4294
135	-0.4219
140	-0.4098
145	-0.3922
150	-0.3682
155	-0.3364
160	-0.2954
170	-0.3966
175	-0.1978
180	0
