-180	0
-175	0.1845
-170	0.3701
-160	0.2679
-155	0.3046
-150	0.3329
-145	0.354
-140	0.3693
-135	0.3794
-130	0.3854
-125	0.3878
-120	0.3872
-115	0.3841
-110	0.3788
-105	0.3716
-100	0.3629
-95	0.3529
-90	0.3416
-85	0.3292
-80	0.3159
-75	0.3017
-70	0.2866
-65	0.2707
-60	0.2539
-55	0.2364
-50	0.2181
-45	0.1991
-40	0.1792
-35	0.1587
-30	0.1374
-25	0.1154
-24	0.1101
-23	0.1031
-22	0.0947
-21	0.0849
-20	0.0739
-19	0.0618
-18	0.0488
-17	0.0351
-16	0.0208
-15	0.006
-14	-0.0091
-13	-0.0243
-12.01	-0.0349
-11	-0.0361
-9.98	-0.0464
-8.98	-0.0534
-8.47	-0.065
-7.45	-0.0782
-6.42	-0.0904
-5.4	-0.1006
-5	-0.1107
-4.5	-0.1135
-4	-0.1162
-3.5	-0.1186
-3	-0.1209
-2.5	-0.1231
-2	-0.1252
-1.5	-0.1272
-1	-0.1293
-0.5	-0.1311
0	-0.133
0.5	-0.1347
1	-0.1364
1.5	-0.138
2	-0.1396
2.5	-0.1411
3	-0.1424
3.5	-0.1437
4	-0.1448
4.5	-0.1456
5	-0.1445
6	-0.1419
6.5	-0.1403
7	-0.1382
7.5	-0.1362
8	-0.132
8.5	-0.1276
9	-0.1234
9.5	-0.1193
10	-0.1152
10.5	-0.1115
11	-0.1081
11.5	-0.1052
12	-0.1026
12.5	-0.1
13	-0.098
13.5	-0.0969
14	-0.0968
14.5	-0.0973
15	-0.0981
15.5	-0.0992
16	-0.1006
16.5	-0.1023
17	-0.1042
17.5	-0.1064
18	-0.1082
18.5	-0.111
19	-0.1143
19.5	-0.1179
20	-0.1219
20.5	-0.1261
21	-0.1303
22	-0.1375
23	-0.1446
24	-0.1515
25	-0.1584
26	-0.1651
28	-0.1781
30	-0.1904
32	-0.2017
35	-0.2173
40	-0.2418
45	-0.265
50	-0.2867
55	-0.3072
60	-0.3265
65	-0.3446
70	-0.3616
75	-0.3775
80	-0.3921
85	-0.4057
90	-0.418
95	-0.4289
100	-0.4385
105	-0.4464
110	-0.4524
115	-0.4563
120	-0.4577
125	-0.4563
130	-0.4514
135	-0.4425
140	-0.4288
145	-0.4095
150	-0.3836
155	-0.3497
160	-0.3065
170	-0.3706
175	-0.1846
180	0
