-180	0
-175	0.188
-170	0.377
-160	0.2747
-155	0.313
-150	0.3428
-145	0.3654
-140	0.382
-135	0.3935
-130	0.4007
-125	0.4042
-120	0.4047
-115	0.4025
-110	0.3981
-105	0.3918
-100	0.3838
-95	0.3743
-90	0.3636
-85	0.3517
-80	0.3388
-75	0.3248
-70	0.3099
-65	0.294
-60	0.2772
-55	0.2595
-50	0.2409
-45	0.2212
-40	0.2006
-35	0.1789
-30	0.1563
-25	0.1156
-24	0.104
-23	0.0916
-22	0.0785
-21	0.0649
-20	0.0508
-19	0.0364
-18	0.0218
-17	0.0129
-16	-0.0028
-15	-0.0251
-14	-0.0419
-13.5	-0.0521
-13	-0.061
-12	-0.0707
-11	-0.0722
-10	-0.0734
-9	-0.0772
-8	-0.0807
-7	-0.0825
-6	-0.0832
-5	-0.0841
-4	-0.0869
-3	-0.0912
-2	-0.0946
-1	-0.0971
0	-0.1014
1	-0.1076
2	-0.1126
3	-0.1157
4	-0.1199
5	-0.124
6	-0.1234
7	-0.1184
8	-0.1163
8.5	-0.1163
9	-0.116
9.5	-0.1154
10	-0.1149
10.5	-0.1145
11	-0.1143
11.5	-0.1147
12	-0.1158
12.5	-0.1165
13	-0.1153
13.5	-0.1131
14	-0.1112
14.5	-0.1101
15	-0.1103
15.5	-0.1109
16	-0.1114
16.5	-0.1111
17	-0.1097
17.5	-0.1079
18	-0.108
18.5	-0.109
19	-0.1086
19.5	-0.1077
20	-0.1099
21	-0.1169
22	-0.119
23	-0.1235
24	-0.1393
25	-0.144
26	-0.1486
28	-0.1577
30	-0.1668
32	-0.1759
35	-0.1897
40	-0.2126
45	-0.2344
50	-0.2553
55	-0.2751
60	-0.2939
65	-0.3117
70	-0.3285
75	-0.3444
80	-0.3593
85	-0.3731
90	-0.3858
95	-0.3973
100	-0.4075
105	-0.4162
110	-0.4231
115	-0.428
120	-0.4306
125	-0.4304
130	-0.427
135	-0.4196
140	-0.4077
145	-0.3903
150	-0.3665
155	-0.3349
160	-0.2942
170	-0.3771
175	-0.1879
180	0
