Element number 1
	1.0 -1.55849 0.360574 1.5 
	239.0 -0.118813385881 1.59408622673 1.5 
	235.0 -0.808706 1.37903 1.5 
	219.0 0.213575456431 1.58423341124 1.5 
	218.0 0.36192751543 1.55699953432 1.5 
	217.0 0.507074105816 1.51599468889 1.5 
	137.0 1.55849 -0.363622 1.5 
	47.0 -0.648042 -1.46441 1.5 
	213.0 0.0632972 1.59722 1.5 
	141.0 1.42985952519 -0.71955319746 1.5 
	51.0 -1.22561705899 -1.03010859507 1.5 
	52.0 -1.10075842789 -1.16270796663 1.5 
	53.0 -0.961660914948 -1.28028087423 1.5 
	54.0 -0.810116254226 -1.38130765252 1.5 
	142.0 1.50472179449 -0.54539860093 1.5 
	152.0 1.587 0.201679 1.5 
	156.0 1.59037400069 -0.176761239088 1.5 
	184.0 0.810036802492 1.37827080242 1.5 
	183.0 0.961831597349 1.277102916 1.5 
	182.0 1.10112153887 1.15931205281 1.5 
	181.0 1.22609500359 1.02642812843 1.5 
	180.0 1.33513713232 0.88018777829 1.5 
	179.0 1.42682273881 0.722484517297 1.5 
	73.0 -0.063652 -1.60026 1.5 
	157.0 1.59995831201 0.012558757381 1.5 
	178.0 1.49996312043 0.55537063742 1.5 
	177.0 1.55364653314 0.381027081572 1.5 
	77.0 -0.50743100281 -1.51900816635 1.5 
	78.0 -0.362268200501 -1.55997038547 1.5 
	79.0 -0.21390991019 -1.58715324699 1.5 
	240.0 -0.299375301579 1.57022237563 1.5 
	241.0 -0.476059332956 1.52601569086 1.5 
	98.0 1.33485 -0.883589 1.5 
	173.0 0.647717 1.46151 1.5 
	14.0 -1.59996485141 -0.0149902568701 1.5 
	107.0 0.961463874929 -1.28042264537 1.5 
	9.0 -1.58712 -0.20381 1.5 
	108.0 1.10078795546 -1.16267208522 1.5 
	109.0 1.22584252234 -1.02986100565 1.5 
	279.0 -1.43013725482 0.71595440336 1.5 
	102.0 0.118739064898 -1.59711263472 1.5 
	266.0 -1.10073707216 1.15967579421 1.5 
	265.0 -0.961017244852 1.27773093988 1.5 
	280.0 -1.50482667617 0.54206056684 1.5 
	261.0 -1.33536 0.879769 1.5 
	13.0 -1.59034028252 0.174019644012 1.5 
	106.0 0.809646045387 -1.38155522917 1.5 
	267.0 -1.22611625741 1.02648590628 1.5 
	25.0 -1.33453 -0.884123 1.5 
	105.0 0.647298057405 -1.46473882568 1.5 
	104.0 0.476539746092 -1.52891054621 1.5 
	242.0 -0.646588344065 1.46204551793 1.5 
	103.0 0.299586594652 -1.57322736948 1.5 
	31.0 -1.42657372791 -0.72604663627 1.5 
	30.0 -1.49993994042 -0.558487066554 1.5 
	29.0 -1.55374806091 -0.383660988268 1.5 
	62.0 -0.810722192355 -1.40558956783 1.66705131349 
	246.0 -0.110029677068 1.61530442185 1.6672949613 
	65.0 -0.962025004445 -1.30685022408 1.66911390699 
	249.0 -0.665736883789 1.47625290548 1.66923962871 
	247.0 -0.290444162331 1.59309036881 1.66967117466 
	138.0 1.5792975 -0.36888025 1.67 
	3.0 -1.5792975 0.364985 1.67 
	282.0 -1.5253662109 0.547761329164 1.6700001793 
	144.0 1.52528770685 -0.551874157699 1.67000018151 
	158.0 1.61150175092 -0.180820158653 1.67000019379 
	15.0 -1.61147648373 0.177154552476 1.67000019699 
	281.0 -1.45030781658 0.722926959212 1.67000037359 
	143.0 1.45009955403 -0.727235316076 1.67000037813 
	16.0 -1.62133088784 -0.0131600390877 1.67000040258 
	159.0 1.62132601585 0.00972687126634 1.67000040341 
	262.0 -1.35519103235 0.88806439993 1.67000058791 
	99.0 1.35480857389 -0.89253867626 1.67000059517 
	153.0 1.60867250499 0.200109132982 1.6700006312 
	117.0 1.24412881647 -1.04166939497 1.67000063766 
	10.0 -1.60876246152 -0.203317129137 1.67000063975 
	185.0 1.57507775785 0.382760148784 1.67000066462 
	116.0 1.11705054327 -1.17709455276 1.67000066562 
	186.0 1.5207282427 0.560341317185 1.67000068275 
	115.0 0.975346808152 -1.29713036228 1.67000070907 
	187.0 1.44646027166 0.730555643433 1.67000071676 
	188.0 1.35320739329 0.891156720048 1.67000075372 
	114.0 0.820842736742 -1.40017044164 1.67000075572 
	189.0 1.2421995855 1.0400391747 1.67000079131 
	113.0 0.655565411543 -1.48485888155 1.67000080217 
	190.0 1.11489581642 1.17525213866 1.6700008295 
	112.0 0.481689576797 -1.5500966655 1.67000084968 
	191.0 0.97296803484 1.29502327527 1.67000086954 
	192.0 0.818261075682 1.39775602896 1.67000089606 
	111.0 0.301494942451 -1.59502500827 1.67000089751 
	110.0 0.117343400405 -1.61903203327 1.67000093478 
	174.0 0.652834403485 1.48215299512 1.67000094417 
	74.0 -0.0683468609078 -1.6218472701 1.67000099165 
	220.0 0.512042622574 1.53643870278 1.67000217188 
	82.0 -0.218650569242 -1.6084981368 1.67000223323 
	270.0 -1.24559809998 1.0359494043 1.67000334344 
	221.0 0.366801747548 1.57734710466 1.67000342914 
	32.0 -1.57559241339 -0.384370400263 1.67000348234 
	81.0 -0.3670508127 -1.58118717971 1.67000350504 
	222.0 0.218402127291 1.60467937106 1.67000469006 
	80.0 -0.512299300394 -1.54029151033 1.67000478184 
	214.0 0.0680785469275 1.61791942241 1.6700059384 
	48.0 -0.653062677152 -1.48590158018 1.67000604625 
	269.0 -1.11988357277 1.17039456284 1.67000608377 
	33.0 -1.52203495633 -0.560470239289 1.67000630903 
	268.0 -0.979791881346 1.28978647366 1.67000884264 
	34.0 -1.44892605125 -0.729394025329 1.67000915395 
	236.0 -0.826994899541 1.3924342174 1.67001163757 
	26.0 -1.35704069843 -0.888894623687 1.67001203644 
	63.0 -1.24708433175 -1.03849541227 1.67259763154 
	248.0 -0.482039384279 1.54792653659 1.68486030072 
	64.0 -1.11404546886 -1.18271120828 1.68636246178 
	56.0 -0.810173763686 -1.43085904188 1.83687514501 
	243.0 -0.0990570476372 1.6369006371 1.83694527422 
	250.0 -0.698089816817 1.4843730901 1.83873959042 
	255.0 -0.266836180451 1.61832314827 1.83884810467 
	66.0 -0.950563712249 -1.34187317997 1.83888650593 
	139.0 1.600105 -0.3741385 1.84 
	4.0 -1.600105 0.369396 1.84 
	146.0 1.54585474083 -0.55835043155 1.84000020497 
	284.0 -1.54590683533 0.553462786772 1.840000209 
	160.0 1.63263089482 -0.184878924603 1.84000022246 
	17.0 -1.63261403642 0.180289313129 1.84000023309 
	145.0 1.47034182461 -0.734918885905 1.84000042966 
	283.0 -1.47048055804 0.729900924089 1.84000043746 
	161.0 1.6426965064 0.00689531155687 1.84000046604 
	18.0 -1.64269962726 -0.0113301677694 1.84000047647 
	100.0 1.37477050766 -0.901490564844 1.84000068117 
	263.0 -1.37502533232 0.896361951318 1.84000069215 
	154.0 1.63034919332 0.19853978765 1.84000073385 
	11.0 -1.63040898003 -0.202824762544 1.84000076443 
	125.0 1.26241809675 -1.053479991 1.8400007921 
	193.0 1.59651280158 0.384493893956 1.84000083058 
	124.0 1.13331577339 -1.19151918847 1.84000088382 
	194.0 1.54149683494 0.565312783975 1.84000090696 
	123.0 0.989232001892 -1.31384024666 1.84000099682 
	195.0 1.4661009089 0.738627718428 1.84000100497 
	196.0 1.37128039396 0.90212678098 1.84000110661 
	122.0 0.832041302258 -1.41878782836 1.84000111376 
	197.0 1.25830653911 1.05365151113 1.84000120924 
	121.0 0.663834252073 -1.50498111555 1.84000123068 
	198.0 1.12867209553 1.19119368592 1.84000131273 
	120.0 0.486840502565 -1.57128496601 1.84000134913 
	199.0 0.98410610443 1.31294527257 1.8400014186 
	119.0 0.303403997586 -1.61682483549 1.8400014679 
	200.0 0.826486643251 1.4172430475 1.8400015064 
