F,2,Fx,-21.998
F,583,Fx,-163.129
F,1453,Fx,-283.193
F,2317,Fx,591.886
F,3456,Fx,2213.249
F,4769,Fx,2512.059
F,6051,Fx,2527.467
F,7273,Fx,2620.339
F,8397,Fx,2716.613
F,9479,Fx,2795.513
F,10486,Fx,2885.257
F,11403,Fx,2890.112
F,12270,Fx,2863.26
F,13077,Fx,2838.286
F,13827,Fx,2301.946
F,14390,Fx,1718.212
F,14786,Fx,1367.108
F,15110,Fx,347.968


F,2,Fy,34.608
F,583,Fy,172.13
F,1453,Fy,204.153
F,2317,Fy,1478.279
F,3456,Fy,3784.839
F,4769,Fy,4819.194
F,6051,Fy,5622.937
F,7273,Fy,6684.67
F,8397,Fy,7885.379
F,9479,Fy,9336.69
F,10486,Fy,10994.805
F,11403,Fy,12125.235
F,12270,Fy,13089.026
F,13077,Fy,14180.652
F,13827,Fy,12543.044
F,14390,Fy,10169.261
F,14786,Fy,8612.014
F,15110,Fy,2553.629


F,2,Fz,3.028
F,583,Fz,15.059
F,1453,Fz,17.861
F,2317,Fz,129.333
F,3456,Fz,331.131
F,4769,Fz,421.625
F,6051,Fz,491.943
F,7273,Fz,584.833
F,8397,Fz,689.881
F,9479,Fz,816.855
F,10486,Fz,961.921
F,11403,Fz,1060.821
F,12270,Fz,1145.141
F,13077,Fz,1240.646
F,13827,Fz,1097.374
F,14390,Fz,889.695
F,14786,Fz,753.454
F,15110,Fz,223.414


F,134,Fx,0.0
F,783,Fx,0.0
F,1654,Fx,0.0
F,2575,Fx,0.0
F,3775,Fx,0.0
F,5088,Fx,0.0
F,6348,Fx,0.0
F,7552,Fx,0.0
F,8665,Fx,0.0
F,9735,Fx,0.0
F,10720,Fx,0.0
F,11623,Fx,0.0
F,12479,Fx,0.0
F,13264,Fx,0.0
F,13971,Fx,0.0
F,14490,Fx,0.0
F,14869,Fx,0.0
F,15148,Fx,0.0


F,134,Fy,29.516
F,783,Fy,134.373
F,1654,Fy,138.607
F,2575,Fy,709.851
F,3775,Fy,2024.173
F,5088,Fy,2733.596
F,6348,Fy,3416.03
F,7552,Fy,4394.995
F,8665,Fy,5393.348
F,9735,Fy,6291.13
F,10720,Fy,7243.848
F,11623,Fy,7752.905
F,12479,Fy,8117.418
F,13264,Fy,8755.976
F,13971,Fy,7711.556
F,14490,Fy,6242.631
F,14869,Fy,5378.993
F,15148,Fy,1572.588


F,134,Fz,2.582
F,783,Fz,11.756
F,1654,Fz,12.127
F,2575,Fz,62.104
F,3775,Fz,177.092
F,5088,Fz,239.159
F,6348,Fz,298.864
F,7552,Fz,384.512
F,8665,Fz,471.857
F,9735,Fz,550.403
F,10720,Fz,633.755
F,11623,Fz,678.291
F,12479,Fz,710.182
F,13264,Fz,766.049
F,13971,Fz,674.674
F,14490,Fz,546.159
F,14869,Fz,470.601
F,15148,Fz,137.584
